method_1, method_id1, method_2, method_id2, in_sim, out_sim, total_sim 
p4.A$FastScanner-nextInt-(),159,p5.CountingSheep-solve-(I),1,1.0,0.0,0.2795308530330658
p3.Main3$FastScanner-nextInt-(),15,p9.Main2$1-accept-(java.io.File+java.lang.String),7,0.0,1.0,0.2795308530330658
p3.Main3$FastScanner-read-(),13,p4.A-get-(I+I+I+[Z),13,0.0,0.5,0.1541716754436493
p3.Main3$FastScanner-isWhiteSpace-(I),46,p9.FastScanner-next-(),181,0.0,0.5,0.1541716754436493
p3.Main3$FastScanner-isWhiteSpace-(I),46,p4.A-run-(),2,0.0,1.0,0.2795308530330658
p4.A$FastScanner-next-(),175,p9.FastScanner-next-(),181,0.0,0.3333333333333333,0.12450573593378067
p4.A$FastScanner-next-(),154,p9.FastScanner-readLine-(),270,0.0,0.5,0.1541716754436493
p3.Main3$FastScanner-isWhiteSpace-(I),14,p7.CountingSheepMain-isComplete-([Z),15,0.5,1.0,0.352854460477829
p9.FastScanner-next-(),181,p9.FastScanner-readLine-(),182,0.0,0.5,0.1541716754436493
p6.CountingSheep2-doit-(J),1,p7.CountingSheepMain-isComplete-([Z),15,0.5,0.0,0.1541716754436493
p4.A$FastScanner-next-(),175,p4.A$FastScanner-nextInt-(),159,0.0,0.3333333333333333,0.12450573593378067
p5.CountingSheep-solve-(I),1,p9.FastScanner-readLine-(),270,1.0,0.0,0.2795308530330658
p4.A-run-(),2,p9.FastScanner-nextInt-(),420,0.0,0.5,0.1541716754436493
p3.Main3$FastScanner-isWhiteSpace-(I),46,p9.Main2$1-accept-(java.io.File+java.lang.String),7,0.0,1.0,0.2795308530330658
p3.Main3$FastScanner-read-(),6,p9.FastScanner-tryReadLine-(),39,0.0,1.0,0.2795308530330658
p4.A-run-(),2,p9.FastScanner-next-(),181,0.0,0.5,0.1541716754436493
p3.Main3$FastScanner-isWhiteSpace-(I),46,p9.FastScanner-nextInt-(),420,0.0,0.5,0.1541716754436493
p3.Main3$FastScanner-nextInt-(),15,p9.FastScanner-next-(),181,0.0,0.5,0.1541716754436493
p3.Main3$FastScanner-isWhiteSpace-(I),46,p4.A$FastScanner-nextInt-(),159,0.0,0.5,0.1541716754436493
p7.CountingSheepMain-isComplete-([Z),21,p9.Main2$1-accept-(java.io.File+java.lang.String),7,0.0,1.0,0.2795308530330658
p4.A-get-(I+I+I+[Z),22,p7.CountingSheepMain-isComplete-([Z),21,0.5,0.0,0.1541716754436493
p4.A$FastScanner-nextInt-(),159,p9.FastScanner-nextInt-(),420,1.0,0.3333333333333333,0.4560484290122986
p5.CountingSheep-solve-(I),1,p9.FastScanner-nextInt-(),420,1.0,0.0,0.2795308530330658
p4.A$FastScanner-next-(),175,p9.FastScanner-nextInt-(),420,0.0,0.3333333333333333,0.12450573593378067
p4.A$FastScanner-nextInt-(),159,p4.A-get-(I+I+I+[Z),70,0.2,0.0,0.10408727824687958
p9.FastScanner-readLine-(),414,p9.FastScanner-tryReadLine-(),415,0.0,1.0,0.2795308530330658
p9.FastScanner-next-(),181,p9.Main2$1-accept-(java.io.File+java.lang.String),7,0.0,0.5,0.1541716754436493
p3.Main3$FastScanner-isWhiteSpace-(I),14,p3.Main3$FastScanner-nextInt-(),21,0.0,1.0,0.2795308530330658
p3.Main3$FastScanner-read-(),47,p9.FastScanner-readLine-(),206,0.0,1.0,0.2795308530330658
p4.A-get-(I+I+I+[Z),70,p9.FastScanner-nextInt-(),420,0.2,0.0,0.10408727824687958
p3.Main3$FastScanner-isWhiteSpace-(I),46,p4.A$FastScanner-next-(),175,0.0,0.5,0.1541716754436493
p4.A-get-(I+I+I+[Z),70,p9.FastScanner-readLine-(),270,0.2,0.0,0.10408727824687958
p5.CountingSheep-solve-(I),180,p6.CountingSheep2-doit-(J),24,1.0,0.0,0.2795308530330658
p3.Main3$FastScanner-isWhiteSpace-(I),46,p4.A-get-(I+I+I+[Z),52,0.16666666666666666,0.0,0.0993940681219101
p3.Main3$FastScanner-nextInt-(),421,p4.A$FastScanner-nextInt-(),159,0.0,0.5,0.1541716754436493
p4.A-run-(),2,p7.CountingSheepMain-isComplete-([Z),21,0.0,1.0,0.2795308530330658
